bert_bfd,bert,tfxl_bfd,tfxl_uni,xlnet,label
0.7479708,0.20018713,0.8594941,0.8373489,0.49500078,1
0.99852186,0.9750486,0.9921984,0.99282646,0.995226,1
0.9993395,0.9930676,0.9990767,0.9993211,0.98695344,1
0.9871842,0.79829353,0.9968298,0.9990335,0.9988456,1
0.0030307209,0.00056704757,0.002474082,0.00081812806,0.023239776,0
0.98672974,0.8816392,0.9350473,0.9980976,0.97812915,1
2.8208779e-05,0.00018088987,4.8977297e-05,0.00033929062,0.0001749841,0
0.11661448,0.48731777,0.1858927,0.060966585,0.04208845,0
0.16003075,0.56456864,0.46245694,0.122248374,0.13503297,0
0.0012119303,0.006597343,0.0017216826,0.009095921,0.011872281,0
0.2752653,0.56715727,0.60924935,0.4495226,0.17359835,0
0.0011490148,0.03794194,0.015092845,0.0054595876,0.014343123,0
0.28421265,0.3966921,0.29621905,0.038701374,0.117342725,0
0.2478478,0.29017287,0.17859598,0.18904933,0.15074404,0
0.9853088,0.9540904,0.9897682,0.98820984,0.92803526,1
0.000195366,0.00011469382,0.0001868212,4.452888e-05,0.0076546124,0
0.8951177,0.8133473,0.9510738,0.97022384,0.9468759,1
0.98630464,0.9447534,0.9899997,0.9933048,0.98788524,1
0.8182493,0.20832297,0.90911317,0.9129148,0.2670755,1
0.95208734,0.82608277,0.9812408,0.9711915,0.69589925,1
0.8586289,0.6763288,0.94585264,0.8430477,0.89364606,1
0.9755315,0.97333026,0.9745308,0.98706293,0.68952644,1
0.97325045,0.8344803,0.98563933,0.99911433,0.99435365,1
0.0023010985,0.0012076653,0.00056517014,0.0011671704,0.0007850515,0
7.1856084e-05,0.0013633909,0.012758754,0.0014365005,0.0001578221,0
0.91548896,0.8885569,0.98403096,0.9806631,0.85635585,1
0.9960763,0.9417757,0.99803513,0.9996574,0.86692965,1
0.14434305,0.26540244,0.39160442,0.3318736,0.26390055,0
0.07477919,0.14912061,0.05932618,0.039332233,0.285784,0
0.0026367188,0.00035418774,0.001451104,0.0011211023,0.0030480651,0
0.000110796755,0.0008122455,0.000347497,5.6000208e-05,0.0005192952,0
0.9438591,0.6834428,0.94682604,0.9369731,0.9483773,1
0.22317198,0.4911848,0.32337436,0.24650712,0.2548785,0
0.82691354,0.6878273,0.72202903,0.7787739,0.877305,1
0.28461727,0.31767794,0.08666446,0.15129837,0.20308556,0
0.004665838,0.0032178238,0.0016787092,2.839054e-05,0.008791221,0
1.4428761e-05,0.000104757826,4.110109e-05,3.6798057e-05,0.0006114216,0
0.19612369,0.67317593,0.49254385,0.25530997,0.4539607,0
0.048382647,0.0971036,0.031041458,0.034266584,0.3635468,0
0.9796422,0.8759364,0.96470016,0.98443687,0.9229357,1
0.07061079,0.13158356,0.026769834,0.025926946,0.26426098,0
0.001164661,0.0003175445,0.00069868297,0.0005984158,0.0072330283,0
0.23133376,0.12749664,0.17298551,0.14690007,0.114948794,0
0.0013025611,6.411476e-05,0.00069333543,0.0015984055,0.0022675553,0
0.99974805,0.9779798,0.9986424,0.99993825,0.9990846,1
0.014087152,0.022915509,0.011624241,0.0019112927,0.0051074233,0
0.25881094,0.45773575,0.5583645,0.1474487,0.22541878,0
0.98543555,0.7503107,0.87001926,0.9210065,0.7490066,1
0.86648256,0.7277317,0.8114161,0.7706446,0.65388304,1
0.995899,0.9962012,0.999786,0.99991775,0.99924654,1
0.50314766,0.1418092,0.45396566,0.490729,0.40831962,1
0.7684137,0.8269521,0.7496396,0.8642321,0.72751033,1
0.99916303,0.9874992,0.99931824,0.9997023,0.9987882,1
0.12817141,0.7450151,0.16000071,0.04269479,0.43614376,0
0.26245064,0.2902845,0.24962303,0.11624953,0.23394868,0
0.039669372,0.14938135,0.13373071,0.03574771,0.49223623,0
0.20932809,0.24749981,0.1915251,0.07905609,0.17575713,0
0.9992349,0.98845893,0.99594843,0.99902475,0.99020857,1
0.99870706,0.9986253,0.9987814,0.9997309,0.99988115,1
0.13967137,0.3500861,0.13379945,0.024651919,0.13843869,0
0.999923,0.9678353,0.9999081,0.99955124,0.99993503,1
0.92565435,0.6696142,0.93009377,0.9590321,0.9531842,1
0.9809167,0.96961683,0.9770256,0.99461347,0.93091846,1
0.0042730663,0.00012011357,0.00053552375,0.0004571006,0.0014479891,0
0.99963677,0.99649376,0.9968638,0.9964478,0.99778664,1
0.9805431,0.5444413,0.99381125,0.98101485,0.8331043,1
0.22551636,0.3413487,0.24629243,0.10422279,0.39483687,0
0.98265105,0.7998327,0.93686724,0.92357254,0.79822415,1
0.7542118,0.5235141,0.8196259,0.6823018,0.46921983,1
0.3275584,0.62223446,0.45287213,0.3336765,0.31751204,0
0.0017194418,0.025562583,0.001686949,0.0043076817,0.058063347,0
0.008708844,0.057871263,0.012588315,0.017047163,0.043162968,0
0.01251145,0.028748604,0.004894933,0.0150334975,0.14959887,0
0.0045526614,0.015474926,0.009484374,0.008501707,0.051280838,0
0.17131507,0.16026254,0.16392079,0.089755245,0.11678585,0
0.99071354,0.973584,0.9811155,0.9749968,0.95621574,1
0.22041033,0.4710063,0.44385082,0.24406242,0.20325786,0
0.97057915,0.9504822,0.98629373,0.99201995,0.95458364,1
0.19089548,0.40661377,0.5796109,0.325005,0.64006203,0
0.78507847,0.6414982,0.75706327,0.826259,0.6831622,1
0.99879277,0.98878926,0.9989048,0.9999342,0.9973647,1
0.8086296,0.9089091,0.98534524,0.9394931,0.82081896,1
0.4423606,0.6483968,0.18786767,0.19767208,0.18130562,0
0.41788125,0.59029293,0.3445669,0.20269027,0.39500147,0
0.89098054,0.8516187,0.9802935,0.9717175,0.9837486,1
0.9029374,0.9416162,0.96953005,0.96956354,0.72035235,1
0.93833816,0.8533131,0.8729316,0.91660666,0.796478,1
0.9060049,0.5050537,0.8675135,0.92338556,0.6381394,1
0.90873003,0.91785026,0.95758396,0.9678783,0.9551208,1
0.00015507624,0.00014247042,0.00031702392,7.0233174e-05,0.0012821247,0
0.25623134,0.32697526,0.28692862,0.14820378,0.16440271,0
0.6831826,0.113918245,0.7321294,0.88449043,0.3488128,1
