bert_bfd,bert,tfxl_bfd,tfxl_uni,xlnet,label
0.79710615,0.7787331,0.94847524,0.9593478,0.9441835,1
0.9935636,0.9813177,0.9971117,0.9998903,0.95691633,1
0.012037187,0.13789792,0.02748755,0.018519841,0.034987696,0
0.0729339,0.36227193,0.06514638,0.036515024,0.115635484,0
0.9964592,0.9999759,0.9996789,0.9998219,0.9949373,1
0.6337631,0.43270543,0.93818736,0.9567652,0.7287313,1
0.017314458,0.022004697,0.007126222,0.0061821556,0.02781324,0
0.05101298,0.13665344,0.027377486,0.03507306,0.15114401,0
0.041975915,0.22673336,0.041705314,0.06779416,0.42390308,0
0.46883857,0.3394166,0.6909621,0.8343006,0.57187575,1
0.96276337,0.88060194,0.9577078,0.98836553,0.933712,1
0.15965648,0.16741844,0.009896724,0.007616429,0.04805124,0
0.3371653,0.09954225,0.10033431,0.23538196,0.35535783,0
0.13966261,0.113462165,0.05265524,0.11550499,0.16788405,0
0.25355417,0.3085816,0.0741331,0.06022387,0.40829438,0
0.95379275,0.6181559,0.9894043,0.97059375,0.9957613,1
0.00036049483,0.0059837247,0.0017771206,4.413895e-06,7.7290144e-07,0
8.923251e-05,2.664075e-05,1.8959782e-06,6.42273e-05,0.00016627405,0
0.0063049323,0.0054948768,0.051729605,0.024785584,0.08344038,0
0.011633301,0.0045590294,0.0032310789,0.0017007596,0.018037286,0
0.000238698,7.8048564e-05,5.2855263e-05,0.00010871575,0.005010301,0
0.08363861,0.036723945,0.342918,0.35482308,0.318424,1
0.9836336,0.9850005,0.9932069,0.99800617,0.916719,1
0.61738276,0.62784934,0.6112328,0.6905224,0.6158211,1
0.5671297,0.60118264,0.5379779,0.57016677,0.5269121,1
0.9719525,0.8520357,0.9870581,0.99128544,0.99055547,1
0.18003438,0.20545666,0.0431958,0.010545273,0.17479308,0
0.77495635,0.8435763,0.8647164,0.92827505,0.74787015,1
0.058529787,0.26063654,0.03007981,0.024009941,0.19724746,0
0.34361708,0.5170619,0.20356685,0.25176114,0.2802454,0
0.0022499633,0.015099459,6.5876743e-06,0.0033165987,3.7453552e-07,0
0.82120013,0.60317016,0.6059856,0.72803533,0.59317446,1
0.8135211,0.5471,0.85973924,0.9353473,0.83102185,1
0.9134266,0.7921441,0.9568041,0.96943754,0.9286859,1
0.00078914076,0.012319501,9.915926e-05,0.0009576101,0.022491744,0
0.9978713,0.99983966,0.99958307,0.99905497,0.9910138,1
0.90330285,0.8395415,0.89545625,0.9280759,0.8607572,1
